n,matrix,list,table
10,0.005411640013335273,0.0004967200220562518,0.002617210047901608
50,0.033324999967589974,0.0012951700045960024,0.055705589984427206
100,0.15422625998326112,0.0011295299918856472,0.25810712002567016
200,0.7415055900492007,0.0016041199705796316,1.2841017099708552
300,1.8933617899892852,0.0007316599658224732,2.2039934700296726
500,4.168261929953587,0.0017653899703873321,6.478147640009411
